YEAR,LOCATION,AREA,RAINFALL,TEMPERATURE,SOIL_TYPE,IRRIGATION,YEILDS,HUMIDITY,CROPS,PRICE,SEASON,YEAR_GROUP,RAINFALL_GROUP
2007,Hassan,1832,3020.82,38,Red,Basin,177939,53,Coconut,646,Rabi,Y1,Medium
2008,Hassan,1867,3020.82,38,Red,Spray,313547,53.5,Coconut,43562,Rabi,Y1,Medium
2004,Kasaragodu,1321,3020.82,27,Light sandy,Spray,3138,54,Groundnut,2644,Zaid,Y1,Medium
2005,Kasaragodu,511,3020.82,27,Light sandy,Spray,3423,58,Groundnut,44235,Zaid,Y1,Medium
2004,Gulbarga,4927,3020.82,185,Dry sandy ,Drip,116481,57,Coconut,24848,Zaid,Y1,Medium
2004,Gulbarga,5278,3020.82,186,Dry sandy ,Drip,316,54,Coconut,761,Zaid,Y1,Medium
2004,Gulbarga,6325,3020.82,187,Dry sandy ,Drip,21400,54.5,Coconut,45608,Zaid,Y1,Medium
2004,Chikmangaluru,1432,3020.82,27.2,Dry sandy ,Basin,10,57,Coconut,64409,Zaid,Y1,Medium
2004,Chikmangaluru,1168,3020.82,27.2,Dry sandy ,Basin,29,55,Coconut,249978,Zaid,Y1,Medium
2004,Chikmangaluru,4,3020.82,27,Dry sandy ,Basin,44,56,Coconut,200000,Zaid,Y1,Medium
2004,Chikmangaluru,219,3020.82,43,Dry sandy ,Spray,121,59,Coconut,1516,Zaid,Y1,Medium
2004,Chikmangaluru,111,3020.82,27,Dry sandy ,Spray,103,50,Coconut,57259,Zaid,Y1,Medium
2004,Chikmangaluru,74,3020.82,27,Dry sandy ,Spray,71,54,Coconut,234779,Zaid,Y1,Medium
2006,Hassan,43275,3020.82,27,Laterite,Drip,2628,55.5,Coffee,761,Zaid,Y1,Medium
2007,Hassan,129,3020.82,27,Laterite,Drip,1939,58.5,Coffee,45608,Zaid,Y1,Medium
2008,Hassan,8355,3020.82,27,Alluvial,Drip,1871,59.5,Coffee,234581,Zaid,Y1,Medium
2010,Mangalore,6325,4019.4,27,Loam,Drip,2810,57,Coffee,249978,Rabi,Y2,High
2010,Mangalore,15,3296.26,37,Sandy loam ,Drip,75340,55,Cardamum,203317,Rabi,Y2,High
2011,Mangalore,3,3296.26,37,Sandy loam ,Drip,29170,56,Cardamum,2134,Rabi,Y2,High
2012,Mangalore,8,3296.26,37,Sandy loam ,Drip,1901,54,Cardamum,45186,Rabi,Y2,High
2013,Mangalore,19,3875.08,38,Sandy loam ,Drip,972,58,Cardamum,238542,Rabi,Y2,High
2014,Mangalore,10,3875.08,38,Sandy loam ,Drip,874,58,Cardamum,1516,Rabi,Y2,High
2015,Mangalore,4,3875.08,38,Clay loam,Drip,592,59,Cardamum,57259,Rabi,Y2,High
2010,Mangalore,13388,4102.78,42,Laterite,Drip,12,57,Pepper,234581,Rabi,Y2,High
2011,Mangalore,13478,4102.78,42,Laterite,Drip,2089,54,Pepper,646,Rabi,Y2,High
2012,Mangalore,13508,4102.78,42,Laterite,Drip,2810,54.5,Pepper,43562,Rabi,Y2,High
2010,Kodagu,1010,3625.6,27,Laterite,Basin,1868,55,Arecanut,4847,Rabi,Y2,High
2011,Kodagu,825,3625.6,27,Laterite,Basin,127919,56,Arecanut,51239,Rabi,Y2,High
2012,Kodagu,737,3625.6,27,Laterite,Basin,75340,54,Arecanut,216396,Rabi,Y2,High
2013,Kodagu,557,3905,27,Laterite,Basin,29170,58,Arecanut,2644,Rabi,Y2,High
2014,Kodagu,352,3905,27,Laterite,Basin,1901,58,Arecanut,44235,Rabi,Y2,High
2015,Kodagu,190,3905,27.2,Laterite,Basin,972,59,Arecanut,203317,Rabi,Y2,High
2010,Kodagu,1832,3415.5,37,Laterite,Basin,9,54,Ginger,43311,Rabi,Y2,High
2011,Kodagu,1867,3415.5,38,Laterite,Basin,12,54.5,Ginger,24848,Rabi,Y2,High
2014,Mysuru,1853,3193.41,39,Laterite,Basin,841,58.5,Ginger,234581,Rabi,Y2,High
2015,Mysuru,1845,3193.41,39,Laterite,Basin,3550,59.5,Ginger,646,Rabi,Y2,High
2012,Mysuru,1321,3296.26,40,Laterite,Basin,2404,52.5,Ginger,51239,Rabi,Y2,High
2013,Mysuru,511,3875.08,41,Laterite,Basin,2805,56,Ginger,216396,Rabi,Y2,High
2014,Mysuru,366,3875.08,41,Laterite,Basin,2331,57,Ginger,2644,Rabi,Y2,High
2015,Mysuru,159,3875.08,41,Laterite,Basin,2088,57.5,Ginger,44235,Rabi,Y2,High
2010,Kasaragodu,32,4102.78,27.2,Sandy loam ,Spray,592,52,Tea,637,Rabi,Y2,High
2011,Kasaragodu,5377,4102.78,27.2,Sandy loam ,Spray,864,51,Tea,43311,Rabi,Y2,High
2015,Kasaragodu,293,3696,27,Sandy loam ,Spray,5518,57,Paddy,234581,Rabi,Y2,High
2011,Kasaragodu,5853,3965.94,27.2,Sandy loam ,Spray,2783,56.6,Paddy,4847,Rabi,Y2,High
2012,Kasaragodu,4698,3193.41,27.2,Sandy loam ,Spray,1533,55.5,Paddy,51239,Rabi,Y2,High
2013,Kasaragodu,4209,3193.41,27.2,Sandy loam ,Spray,1647,58.5,Paddy,216396,Rabi,Y2,High
2014,Kasaragodu,4323,3193.41,27.1,Sandy loam ,Spray,975,59.5,Paddy,2644,Rabi,Y2,High
2015,Kasaragodu,3365,3296.26,27.1,Sandy loam ,Spray,2,55,Paddy,44235,Rabi,Y2,High
2010,Kasaragodu,9,3296.26,38,Sandy loam ,Spray,71,54,Groundnut,2644,Rabi,Y2,High
2011,Kasaragodu,50,3296.26,39,Sandy loam ,Spray,3961,58,Groundnut,44235,Rabi,Y2,High
2012,Kasaragodu,61,3296.26,39,Sandy loam ,Spray,4247,58,Groundnut,203317,Rabi,Y2,High
2013,Kasaragodu,50,3875.08,39,Sandy loam ,Spray,3290,59,Groundnut,2134,Rabi,Y2,High
2014,Kasaragodu,59,3875.08,40,Sandy loam ,Spray,3138,50,Groundnut,45186,Rabi,Y2,High
2015,Kasaragodu,50,3875.08,40,Sandy loam ,Spray,3423,54,Groundnut,238542,Rabi,Y2,High
2013,Raichur,9830,3696,42,Sandy loam ,Spray,4904,57,Blackgram,637,Rabi,Y2,High
2014,Raichur,46251,3696,43,Sandy loam ,Spray,2821,57,Blackgram,43311,Rabi,Y2,High
2015,Raichur,159,3696,43,Sandy loam ,Spray,3472,54,Blackgram,24848,Rabi,Y2,High
2010,Raichur,9455,3905,137,Black,Drip,975,56,Blackgram,2644,Rabi,Y2,High
2011,Raichur,45936,3905,138,Black,Drip,2,59.5,Blackgram,44235,Rabi,Y2,High
2012,Raichur,139,3905,139,Black,Drip,836,55,Blackgram,203317,Rabi,Y2,High
2013,Raichur,9286,4019.4,140,Black,Drip,806,53,Cashew,2134,Rabi,Y2,High
2014,Raichur,43275,4019.4,141,Black,Drip,880,53.5,Cashew,45186,Rabi,Y2,High
2015,Raichur,129,4019.4,142,Black,Drip,770,52.5,Cashew,238542,Rabi,Y2,High
2014,Gulbarga,7415,3415.5,27,Black,Drip,3961,54,Cashew,637,Rabi,Y2,High
2015,Gulbarga,40107,3415.5,27,Black,Drip,4247,58,Cashew,43311,Rabi,Y2,High
2010,Gulbarga,4389,3875.08,27.2,Red,Drip,4904,52.5,Coconut,216396,Rabi,Y2,High
2011,Gulbarga,4437,3875.08,27.2,Red,Drip,2821,56,Coconut,2644,Rabi,Y2,High
2012,Gulbarga,4459,3875.08,27.2,Red,Drip,3472,57,Coconut,44235,Rabi,Y2,High
2013,Gulbarga,4517,4102.78,27.1,Red,Drip,3647,57.5,Coconut,203317,Rabi,Y2,High
2014,Gulbarga,4614,4102.78,27.1,Red,Drip,393,57,Coconut,2134,Rabi,Y2,High
2015,Gulbarga,4657,4102.78,27.1,Red,Drip,167,55,Coconut,45186,Rabi,Y2,High
2013,Gulbarga,6325,3696,37,Red,Drip,27170,58,Coconut,4847,Rabi,Y2,High
2014,Gulbarga,6663,3696,37,Red,Drip,114744,59,Coconut,51239,Rabi,Y2,High
2015,Gulbarga,6751,3696,37,Red,Drip,1402,50,Ginger,216396,Rabi,Y2,High
2010,Gulbarga,5,3905,41,Red,Basin,34153,57.5,Ginger,1493,Rabi,Y2,High
2011,Gulbarga,11,3905,41,Alluvial,Basin,2570,57,Ginger,64409,Rabi,Y2,High
2012,Gulbarga,3,3905,41,Alluvial,Basin,27170,55,Ginger,249978,Rabi,Y2,High
2013,Gulbarga,15,4019.4,42,Alluvial,Basin,114744,56,Ginger,637,Rabi,Y2,High
2014,Gulbarga,3,4019.4,42,Alluvial,Basin,1402,54,Ginger,43311,Rabi,Y2,High
2015,Gulbarga,8,4019.4,42,Alluvial,Drip,23456,57,Coconut,200000,Rabi,Y2,High
2013,Madikeri,12362,3415.5,27,Alluvial,Drip,792,59,Coconut,45186,Rabi,Y2,High
2014,Madikeri,12603,3415.5,27.2,Alluvial,Drip,34153,50,Coconut,238542,Rabi,Y2,High
2010,Madikeri,15828,4102.78,27.2,Alluvial,Drip,336,54.5,Coconut,45608,Rabi,Y2,High
2011,Madikeri,15994,4102.78,27.1,Arid and Desert,Drip,22594,56.6,Coconut,234581,Rabi,Y2,High
2012,Madikeri,16043,4102.78,27.1,Arid and Desert,Drip,116481,55.5,Coconut,646,Rabi,Y2,High
2013,Madikeri,557,3965.94,38,Arid and Desert,Drip,110579,57.5,Coconut,2134,Rabi,Y2,High
2014,Madikeri,352,3863.64,38,Arid and Desert,Drip,221,57,Coconut,45186,Rabi,Y2,High
2015,Madikeri,190,3863.64,39,Arid and Desert,Drip,15362,55,Coconut,238542,Rabi,Y2,High
2010,Chikmangaluru,1831,4019.4,42,Arid and Desert,Drip,8838,51,Coconut,761,Rabi,Y2,High
2013,Chikmangaluru,159,4019.4,27,Black,Basin,3,53,Coconut,45186,Rabi,Y2,High
2010,Chikmangaluru,5377,3296.26,26.8,Black,Basin,44,59,Coconut,2644,Rabi,Y2,High
2011,Chikmangaluru,5968,3875.08,26.8,Black,Basin,33,50,Coconut,44235,Rabi,Y2,High
2012,Chikmangaluru,6035,3875.08,37,Black,Basin,14,54,Coconut,203317,Rabi,Y2,High
2013,Chikmangaluru,5288,3875.08,37,Red,Basin,56,53,Coconut,2134,Rabi,Y2,High
2014,Chikmangaluru,293,4102.78,37,Red,Basin,26,52,Coconut,45186,Rabi,Y2,High
2015,Chikmangaluru,5823,4102.78,38,Red,Basin,98,51,Coconut,238542,Rabi,Y2,High
2013,Chikmangaluru,3365,3696,40,Red,Basin,63504,54.5,Coconut,637,Rabi,Y2,High
2014,Chikmangaluru,3176,3965.94,40,Red,Basin,63931,56.6,Coconut,43311,Rabi,Y2,High
2015,Chikmangaluru,3284,3965.94,41,Red,Basin,73730,55.5,Coconut,24848,Rabi,Y2,High
2010,Hassan,45878,3905,130,Red,Spray,1647,57,Coconut,2644,Rabi,Y2,High
2011,Hassan,185,4019.4,131,Red,Spray,975,55,Coconut,44235,Rabi,Y2,High
2012,Hassan,9830,4019.4,132,Red,Spray,2,56,Coconut,203317,Rabi,Y2,High
2013,Hassan,46251,4019.4,133,Red,Spray,836,54,Coconut,2134,Rabi,Y2,High
2013,Gulbarga,352,3875.08,40,Loam,Spray,2783,54,Paddy,43562,Rabi,Y2,High
2014,Gulbarga,190,3875.08,41,Loam,Spray,1533,54.5,Paddy,200000,Rabi,Y2,High
2015,Gulbarga,138,4102.78,41,Loam,Spray,1647,56.6,Paddy,4847,Rabi,Y2,High
2010,Gulbarga,1832,3965.94,131,Loam,Spray,121,57.5,Paddy,200000,Rabi,Y2,High
2011,Gulbarga,1867,3193.41,132,Loam,Spray,103,57,Groundnut,4847,Rabi,Y2,High
2012,Gulbarga,1914,3193.41,133,Loam,Spray,71,55,Groundnut,51239,Rabi,Y2,High
2013,Gulbarga,1881,3193.41,134,Loam,Spray,3961,56,Groundnut,216396,Rabi,Y2,High
2014,Gulbarga,1853,3296.26,135,Loam,Spray,4247,54,Groundnut,2644,Rabi,Y2,High
2015,Gulbarga,1845,3296.26,136,Laterite,Spray,3290,58,Groundnut,44235,Rabi,Y2,High
2010,Gulbarga,181,3296.26,146,Laterite,Spray,2821,60,Groundnut,249978,Rabi,Y2,High
2011,Gulbarga,185,3296.26,147,Laterite,Spray,3472,57,Blackgram,637,Rabi,Y2,High
2012,Gulbarga,219,3875.08,148,Laterite,Spray,3647,57,Blackgram,43311,Rabi,Y2,High
2013,Gulbarga,111,3875.08,149,Laterite,Spray,393,54,Blackgram,24848,Rabi,Y2,High
2014,Gulbarga,74,3875.08,150,Laterite,Spray,167,54.5,Blackgram,761,Rabi,Y2,High
2015,Gulbarga,67,4102.78,151,Laterite,Spray,71,56.6,Blackgram,45608,Rabi,Y2,High
2010,Gulbarga,6038,3965.94,161,Laterite,Drip,880,55,Blackgram,203317,Rabi,Y2,High
2011,Gulbarga,5567,3965.94,162,Laterite,Drip,770,53,Cashew,2134,Rabi,Y2,High
2012,Gulbarga,5853,3863.64,163,Laterite,Drip,395,53.5,Cashew,45186,Rabi,Y2,High
2013,Gulbarga,4698,3863.64,164,Laterite,Drip,187,52.5,Cashew,238542,Rabi,Y2,High
2014,Gulbarga,4209,3863.64,165,Laterite,Drip,187,56,Cashew,1516,Rabi,Y2,High
2015,Gulbarga,4323,3625.6,166,Laterite,Drip,121,57,Cashew,57259,Rabi,Y2,High
2015,Gulbarga,59,3415.5,181,Laterite,Drip,2821,53.5,Coconut,51239,Rabi,Y2,High
2010,Gulbarga,159,3296.26,191,Clay,Drip,1402,58,Coconut,4847,Rabi,Y2,High
2011,Gulbarga,9651,3875.08,192,Clay,Drip,23456,59,Coconut,51239,Rabi,Y2,High
2012,Gulbarga,46538,3875.08,193,Clay,Drip,107809,50,Ginger,216396,Rabi,Y2,High
2013,Gulbarga,131,3875.08,194,Clay,Drip,1132,54,Ginger,2644,Rabi,Y2,High
2014,Madikeri,9819,4102.78,195,Clay,Drip,23960,53,Ginger,44235,Rabi,Y2,High
2015,Madikeri,46220,4102.78,196,Clay,Basin,126487,59.5,Ginger,203317,Rabi,Y2,High
2010,Madikeri,129,3965.94,206,Sandy,Basin,23456,56,Ginger,637,Rabi,Y2,High
2011,Madikeri,8355,3863.64,207,Sandy,Basin,107809,54,Ginger,43311,Rabi,Y2,High
2012,Madikeri,42480,3863.64,208,Loam,Drip,1132,57,Coconut,200000,Rabi,Y2,High
2013,Madikeri,142,3863.64,209,Loam,Drip,23960,57.5,Coconut,4847,Rabi,Y2,High
2014,Madikeri,8084,3625.6,210,Loam,Drip,126487,57,Coconut,51239,Rabi,Y2,High
2015,Madikeri,42291,3625.6,211,Loam,Drip,804,55,Coconut,216396,Rabi,Y2,High
2014,Hassan,4437,3415.5,27,Loam,Drip,117826,57,Coconut,43311,Rabi,Y2,High
2015,Hassan,4459,3415.5,27,Loam,Drip,336,57,Coconut,24848,Rabi,Y2,High
2010,Hassan,6943,3875.08,27,Alluvial,Drip,18951,52.5,Coconut,2644,Rabi,Y2,High
2011,Hassan,7070,3875.08,27.2,Alluvial,Drip,110579,56,Coconut,44235,Rabi,Y2,High
2012,Hassan,29,4102.78,27.2,Alluvial,Drip,221,57,Coconut,203317,Rabi,Y2,High
2013,Hassan,1,4102.78,27.2,Alluvial,Drip,15362,57.5,Coconut,2134,Rabi,Y2,High
2014,Hassan,27,4102.78,27.1,Alluvial,Drip,120373,57,Coconut,45186,Rabi,Y2,High
2010,Hassan,19,3863.64,38,Alluvial,Drip,42915,51,Coconut,761,Rabi,Y2,High
2011,Hassan,10,3863.64,39,Alluvial,Basin,9230,57,Coconut,45608,Rabi,Y2,High
2012,Hassan,4,3625.6,39,Alluvial,Basin,44313,57,Coconut,234581,Rabi,Y2,High
2013,Hassan,14,3625.6,39,Alluvial,Basin,45820,60,Coconut,646,Rabi,Y2,High
2014,Hassan,7,3625.6,40,Alluvial,Basin,49084,57,Coconut,43562,Rabi,Y2,High
2015,Hassan,26,3905,40,Alluvial,Basin,86311,57,Coconut,200000,Rabi,Y2,High
2012,Hassan,15386,3415.5,27,Alluvial,Basin,19,57,Coconut,234779,Rabi,Y2,High
2013,Hassan,15761,3415.5,27,Alluvial,Basin,32,57.5,Coconut,1493,Rabi,Y2,High
2014,Hassan,15828,3415.5,27,Alluvial,Basin,8,57,Coconut,64409,Rabi,Y2,High
2010,Hassan,557,3193.41,27.2,Red,Basin,58637,51,Coconut,238542,Rabi,Y2,High
2011,Hassan,352,3193.41,27.2,Red,Basin,59777,57,Coconut,1516,Rabi,Y2,High
2012,Hassan,190,3193.41,27.2,Red,Basin,60528,57,Coconut,57259,Rabi,Y2,High
2013,Hassan,138,3296.26,27.1,Red,Basin,61126,60,Coconut,234779,Rabi,Y2,High
2014,Hassan,100,3296.26,27.1,Red,Basin,623687,57,Coconut,1493,Rabi,Y2,High
2015,Hassan,68,3296.26,27.1,Red,Basin,63504,57,Coconut,64409,Rabi,Y2,High
2010,Hassan,1881,3696,39,Red,Spray,1533,56,Coconut,4847,Rabi,Y2,High
2011,Hassan,1853,3696,39,Red,Spray,1647,57,Coconut,51239,Rabi,Y2,High
2012,Hassan,1845,3965.94,40,Red,Spray,975,57.5,Coconut,216396,Rabi,Y2,High
2013,Hassan,1679,3965.94,40,Red,Spray,2,57,Coconut,2644,Rabi,Y2,High
2014,Hassan,1657,3965.94,40,Black,Spray,836,55,Coconut,44235,Rabi,Y2,High
2015,Hassan,1619,3863.64,41,Black,Spray,806,56,Coconut,203317,Rabi,Y2,High
2012,Hassan,159,3625.6,42,Black,Spray,187,59,Coconut,1516,Rabi,Y2,High
2013,Hassan,46,3625.6,42,Black,Spray,187,50,Coconut,57259,Rabi,Y2,High
2014,Hassan,156,3905,43,Black,Spray,121,54,Coconut,234779,Rabi,Y2,High
2015,Hassan,181,3905,27,Black,Spray,103,53,Coconut,1493,Rabi,Y2,High
2010,Hassan,6035,3415.5,27,Black,Spray,4479,55.5,Coconut,200000,Rabi,Y2,High
2011,Hassan,5288,3415.5,27,Black,Spray,3699,58.5,Coconut,4847,Rabi,Y2,High
2012,Hassan,293,3415.5,27,Black,Spray,4904,59.5,Coconut,51239,Rabi,Y2,High
2015,Hassan,5567,3193.41,27,Black,Spray,3647,53.5,Coconut,44235,Rabi,Y2,High
2011,Hassan,1151,3296.26,27.1,Black,Spray,52,57.5,Coconut,238542,Rabi,Y2,High
2012,Hassan,11955,3296.26,27.1,Black,Spray,12,57,Coconut,1516,Rabi,Y2,High
2013,Hassan,46907,3875.08,27.1,Black,Spray,51,55,Coconut,200000,Rabi,Y2,High
2014,Hassan,653,3875.08,26.8,Black,Spray,61,56,Coconut,4847,Rabi,Y2,High
2015,Hassan,11597,3875.08,26.8,Black,Spray,67,54,Coconut,51239,Rabi,Y2,High
2010,Hassan,46538,4102.78,38,Alluvial,Drip,841,57,Cocoa,234779,Rabi,Y2,High
2011,Hassan,131,4102.78,38,Alluvial,Drip,3550,60,Cocoa,1493,Rabi,Y2,High
2012,Hassan,9819,4102.78,39,Alluvial,Drip,109,57,Coffee,64409,Rabi,Y2,High
2012,Mangalore,9286,3965.94,42,Alluvial,Drip,1871,53,Coffee,43562,Rabi,Y2,High
2013,Mangalore,43275,3863.64,42,Alluvial,Drip,1868,53.5,Coffee,200000,Rabi,Y2,High
2014,Mangalore,129,3863.64,27,Alluvial,Drip,127919,52.5,Coffee,4847,Rabi,Y2,High
2015,Mangalore,8355,3863.64,27,Alluvial,Drip,75340,56,Coffee,51239,Rabi,Y2,High
2013,Kodagu,4614,3193.41,26.8,Black,Drip,3368,54.5,Pepper,43562,Rabi,Y2,High
2014,Kodagu,4657,3193.41,26.8,Black,Drip,3671,56.6,Pepper,200000,Rabi,Y2,High
2015,Kodagu,4765,3193.41,37,Black,Drip,2404,55.5,Pepper,4847,Rabi,Y2,High
2010,Kodagu,27,3296.26,40,Black,Basin,29170,57,Arecanut,200000,Rabi,Y2,High
2011,Kodagu,5,3296.26,40,Black,Basin,1901,55,Arecanut,4847,Rabi,Y2,High
2012,Kodagu,14,3296.26,41,Black,Basin,972,56,Arecanut,51239,Rabi,Y2,High
2013,Kodagu,4,3875.08,41,Black,Basin,874,54,Arecanut,216396,Rabi,Y2,High
2014,Kodagu,35,3875.08,41,Black,Basin,592,58,Arecanut,2644,Rabi,Y2,High
2015,Kodagu,5,3875.08,42,Black,Basin,864,58,Arecanut,44235,Rabi,Y2,High
2010,Mysuru,12887,3625.6,27,Loam,Basin,3671,58.5,Ginger,234581,Rabi,Y2,High
2011,Mysuru,13018,3625.6,27,Loam,Basin,2404,59.5,Ginger,646,Rabi,Y2,High
2012,Mysuru,13388,3625.6,27,Loam,Basin,2805,55,Ginger,43562,Rabi,Y2,High
2013,Mysuru,13478,3905,27,Loam,Basin,2331,53,Ginger,200000,Rabi,Y2,High
2014,Mysuru,13508,3905,27.2,Loam,Basin,2088,53.5,Ginger,4847,Rabi,Y2,High
2015,Mysuru,13603,3905,27.2,Loam,Basin,2628,52.5,Ginger,51239,Rabi,Y2,High
2015,Mysuru,1168,3415.5,37,Loam,Spray,592,59,Tea,234779,Rabi,Y2,High
2010,Mysuru,68,3296.26,41,Light sandy,Spray,1533,57,Paddy,646,Rabi,Y2,High
2011,Mysuru,48,3875.08,41,Light sandy,Spray,1647,54,Paddy,43562,Zaid,Y2,High
2012,Mysuru,2419,3875.08,41,Light sandy,Spray,975,54.5,Paddy,200000,Zaid,Y2,High
2013,Mysuru,2080,3875.08,42,Light sandy,Spray,2,56.6,Paddy,4847,Zaid,Y2,High
2014,Mysuru,1969,3193.41,42,Light sandy,Spray,836,55.5,Paddy,51239,Zaid,Y2,High
2015,Mysuru,1798,3193.41,42,Light sandy,Spray,806,58.5,Paddy,216396,Zaid,Y2,High
2013,Mysuru,1881,3875.08,27,Light sandy,Spray,121,56,Paddy,238542,Zaid,Y2,High
2014,Mysuru,1853,3875.08,27,Light sandy,Spray,103,57,Paddy,1516,Zaid,Y2,High
2015,Mysuru,1845,4102.78,27.2,Light sandy,Spray,71,57.5,Paddy,200000,Zaid,Y2,High
2010,Kasaragodu,181,3965.94,27.2,Light sandy,Spray,4479,53,Groundnut,1516,Zaid,Y2,High
2011,Kasaragodu,185,3193.41,27.2,Light sandy,Spray,3699,52,Groundnut,57259,Zaid,Y2,High
2012,Kasaragodu,219,3193.41,27.1,Light sandy,Spray,4904,51,Groundnut,234779,Zaid,Y2,High
2013,Kasaragodu,111,3193.41,27.1,Light sandy,Spray,2821,57,Groundnut,1493,Zaid,Y2,High
2014,Kasaragodu,74,3296.26,27.1,Light sandy,Spray,3472,57,Groundnut,64409,Zaid,Y2,High
2015,Kasaragodu,67,3296.26,26.8,Light sandy,Spray,3647,60,Groundnut,249978,Zaid,Y2,High
2010,Raichur,840,3625.6,42,Heavy clay,Drip,71,57,Cashew,57259,Zaid,Y2,High
2011,Raichur,311,3905,43,Heavy clay,Drip,3961,57.5,Cashew,234779,Zaid,Y2,High
2012,Raichur,26,3905,43,Heavy clay,Drip,4247,57,Cashew,1493,Zaid,Y2,High
2013,Raichur,10,3905,128,Heavy clay,Drip,3290,55,Cashew,64409,Zaid,Y2,High
2014,Raichur,9,4019.4,129,Heavy clay,Drip,3138,56,Cashew,249978,Zaid,Y2,High
2015,Raichur,6,4019.4,130,Heavy clay,Drip,3423,54,Cashew,637,Zaid,Y2,High
2014,Raichur,46061,3415.5,138,Heavy clay,Drip,2821,55,Coconut,200000,Zaid,Y2,High
2015,Raichur,421,3415.5,139,Heavy clay,Drip,3472,53,Coconut,4847,Zaid,Y2,High
2010,Raichur,9819,3625.6,149,Loam,Drip,23456,58,Coconut,200000,Zaid,Y2,High
2011,Raichur,46220,3905,150,Loam,Drip,107809,58,Coconut,4847,Zaid,Y2,High
2012,Raichur,144,3905,151,Loam,Drip,1132,59,Coconut,51239,Zaid,Y2,High
2013,Raichur,9821,3905,152,Loam,Drip,23960,50,Ginger,216396,Zaid,Y2,High
2014,Raichur,46218,4019.4,153,Loam,Drip,126487,54,Ginger,2644,Zaid,Y2,High
2015,Gulbarga,128,4019.4,154,Loam,Drip,804,53,Ginger,44235,Zaid,Y2,High
2010,Chikmangaluru,131,3193.41,39,Laterite,Drip,2089,53,Cocoa,45186,Zaid,Y2,High
2011,Hassan,9819,3193.41,40,Laterite,Drip,2810,52,Cocoa,238542,Zaid,Y2,High
2012,Hassan,46220,3296.26,40,Laterite,Drip,841,51,Cocoa,1516,Zaid,Y2,High
2013,Hassan,144,3296.26,40,Laterite,Drip,3550,57,Cocoa,57259,Zaid,Y2,High
2014,Hassan,9821,3296.26,41,Laterite,Drip,109,57,Cocoa,234779,Zaid,Y2,High
2015,Hassan,46218,3875.08,41,Laterite,Drip,3368,60,Cocoa,1493,Zaid,Y2,High
2010,Hassan,142,3696,27,Alluvial,Drip,127919,53,Coffee,43562,Zaid,Y2,High
2011,Hassan,8084,3696,27,Alluvial,Drip,75340,53.5,Coffee,200000,Zaid,Y2,High
2012,Hassan,42291,3965.94,27,Alluvial,Drip,29170,52.5,Coffee,4847,Zaid,Y2,High
2013,Hassan,93,3965.94,27,Alluvial,Drip,1901,56,Coffee,51239,Zaid,Y2,High
2014,Hassan,7415,3965.94,27.2,Alluvial,Drip,972,57,Coffee,216396,Zaid,Y2,High
2015,Hassan,40107,3863.64,27.2,Alluvial,Drip,874,57.5,Coffee,2644,Zaid,Y2,High
2010,Hassan,4389,4019.4,27.2,Alluvial,Drip,9,53,Cardamum,64409,Zaid,Y2,High
2011,Hassan,4437,4019.4,27.1,Alluvial,Drip,12,52,Cardamum,249978,Zaid,Y2,High
2015,Hassan,4657,3193.41,26.8,Alluvial,Drip,3550,60,Cardamum,761,Zaid,Y2,High
2010,Hassan,1,4102.78,38,Red,Basin,1871,53,Pepper,44235,Kharif,Y2,High
2011,Hassan,27,4102.78,38,Red,Basin,1868,53.5,Pepper,203317,Kharif,Y2,High
2015,Hassan,35,3696,40,Red,Basin,1901,57.5,Pepper,1516,Kharif,Y2,High
2010,Hassan,14,3625.6,27,Red,Basin,3830,53,Arecanut,238542,Kharif,Y2,High
2011,Hassan,7,3625.6,27,Red,Basin,4,52,Arecanut,1516,Kharif,Y2,High
2012,Hassan,26,3905,27,Red,Basin,9,51,Arecanut,57259,Kharif,Y2,High
2013,Hassan,1,3905,27,Red,Basin,12,57,Arecanut,234779,Kharif,Y2,High
2014,Hassan,12362,3905,27.2,Red,Basin,2089,57,Arecanut,1493,Kharif,Y2,High
2015,Hassan,12603,4019.4,27.2,Red,Basin,2810,60,Arecanut,64409,Kharif,Y2,High
2017,Mangalore,27,3415.5,27.2,Loam,Drip,2805,55,Coffee,646,Rabi,Y3,High
2018,Mangalore,5,3415.5,27.2,Loam,Drip,2331,53,Coffee,43562,Rabi,Y3,High
2016,Mangalore,14,3193.41,39,Clay loam,Drip,864,50,Cardamum,234779,Rabi,Y3,High
2017,Mangalore,7,3193.41,39,Clay loam,Drip,5373,54,Cardamum,1493,Rabi,Y3,High
2018,Mangalore,26,3193.41,39,Clay loam,Drip,6589,53,Cardamum,64409,Rabi,Y3,High
2016,Mangalore,15761,3696,27,Laterite,Drip,3368,59.5,Pepper,216396,Rabi,Y3,High
2017,Mangalore,15828,3696,27,Laterite,Basin,3671,55,Pepper,2644,Rabi,Y3,High
2018,Mangalore,15994,3696,27,Laterite,Basin,2404,53,Pepper,44235,Rabi,Y3,High
2016,Kodagu,138,4019.4,27.2,Laterite,Basin,874,50,Arecanut,2134,Rabi,Y3,High
2017,Kodagu,100,4019.4,27.2,Laterite,Basin,592,54,Arecanut,45186,Rabi,Y3,High
2018,Kodagu,68,4019.4,27.1,Laterite,Basin,864,53,Arecanut,238542,Rabi,Y3,High
